168
0.0 e05 64 659.274206222176
150.0 g04 55 392.0037725760563 5
150.75 g04 55 392.0037725760563 0
151.5 g04 55 392.0037725760563 0
152.25 f04 53 349.2350614339879 2
153.0 c04 48 261.62956379894933 5
154.25 d04 50 293.66975814369056 2
155.0 g03 43 195.9998757643836 7
155.75 b03 47 246.94521361646014 4
158.0 e03 40 164.81517026262188 7
158.75 e03 40 164.81517026262188 0
159.5 e03 40 164.81517026262188 0
160.25 e03 40 164.81517026262188 0
161.5 c03 36 130.81344004395967 4
162.25 c03 36 130.81344004395967 0
163.0 c03 36 130.81344004395967 0
163.75 c03 36 130.81344004395967 0
167.0 d03 38 146.8333728873804 2
169.0 d04 50 293.66975814369056 12
169.75 g04 55 392.0037725760563 5
171.5 g05 67 784.0155873291847 12
172.0 c06 72 1046.5397252143853 5
173.0 g04 55 392.0037725760563 12
172.0 g05 67 784.0155873291847 2
129.5 f04 53 349.2350614339879 5
128.0 f04 53 349.2350614339879 0
124.5 e04 52 329.6337218008237 4
122.5 db4 49 277.18710418068997 4
120.5 db4 49 277.18710418068997 3
113.5 f04 53 349.2350614339879 3
110.5 c04 48 261.62956379894933 3
106.0 g05 67 784.0155873291847 3
63.5 f04 53 349.2350614339879 3
62.0 f04 53 349.2350614339879 4
58.5 e04 52 329.6337218008237 4
56.5 db4 49 277.18710418068997 4
54.5 db4 49 277.18710418068997 4
47.5 f04 53 349.2350614339879 4
44.5 c04 48 261.62956379894933 3
38.0 g04 55 392.0037725760563 3
