335
0.0 e05 64 659.274206222176
68.0 bb4 58 466.1748709275304 3
68.5 d05 62 587.3455410870412 4
69.0 f05 65 698.4772876209713 3
69.5 d05 62 587.3455410870412 3
70.0 f05 65 698.4772876209713 3
70.5 d05 62 587.3455410870412 3
71.0 f05 65 698.4772876209713 3
71.5 eb5 63 622.271456342241 2
72.0 f05 65 698.4772876209713 2
72.5 eb5 63 622.271456342241 2
73.0 f05 65 698.4772876209713 2
73.5 eb5 63 622.271456342241 2
74.0 f#5 66 740.0115410520648 3
74.5 eb5 63 622.271456342241 3
75.0 f#5 66 740.0115410520648 3
76.0 e05 64 659.274206222176 2
76.25 g05 67 784.0155873291847 3
76.75 e05 64 659.274206222176 3
77.0 g05 67 784.0155873291847 3
77.5 e05 64 659.274206222176 3
78.0 c05 60 523.2644950750164 4
78.25 e05 64 659.274206222176 4
78.75 c05 60 523.2644950750164 4
79.0 e05 64 659.274206222176 4
79.5 c05 60 523.2644950750164 4
80.0 a04 57 440.010109760719 3
80.25 c05 60 523.2644950750164 3
80.75 a04 57 440.010109760719 3
81.0 c05 60 523.2644950750164 3
81.5 a04 57 440.010109760719 3
81.75 c05 60 523.2644950750164 3
82.0 a04 57 440.010109760719 3
84.0 g04 55 392.0037725760563 2
84.25 a04 57 440.010109760719 2
84.75 g04 55 392.0037725760563 2
85.0 e04 52 329.6337218008237 3
85.5 g04 55 392.0037725760563 3
86.0 e04 52 329.6337218008237 3
86.25 f04 53 349.2350614339879 1
86.75 e04 52 329.6337218008237 1
87.0 c04 48 261.62956379894933 4
88.0 c04 48 261.62956379894933 0
88.25 d04 50 293.66975814369056 2
88.75 c04 48 261.62956379894933 2
89.0 g03 43 195.9998757643836 5
89.5 g03 43 195.9998757643836 0
89.75 b03 47 246.94521361646014 4
90.0 g03 43 195.9998757643836 4
92.0 e03 40 164.81517026262188 3
92.25 g03 43 195.9998757643836 3
92.75 e03 40 164.81517026262188 3
93.0 g03 43 195.9998757643836 3
93.5 e03 40 164.81517026262188 3
94.0 c03 36 130.81344004395967 4
94.25 e03 40 164.81517026262188 4
94.75 c03 36 130.81344004395967 4
95.0 e03 40 164.81517026262188 4
95.5 c03 36 130.81344004395967 4
96.0 a02 33 110.0002707114078 3
96.25 c03 36 130.81344004395967 3
96.75 a02 33 110.0002707114078 3
97.0 c03 36 130.81344004395967 3
97.5 a02 33 110.0002707114078 3
97.75 c03 36 130.81344004395967 3
98.0 a02 33 110.0002707114078 3
101.0 d03 38 146.8333728873804 5
101.5 e03 40 164.81517026262188 2
103.0 d04 50 293.66975814369056 10
103.5 e04 52 329.6337218008237 2
103.75 g04 55 392.0037725760563 3
105.0 e05 64 659.274206222176 9
105.5 g05 67 784.0155873291847 3
105.75 a05 69 880.0292465754202 2
106.0 c06 72 1046.5397252143853 3
107.5 b04 59 493.895493452365 13
108.0 c05 60 523.2644950750164 1
108.5 bb4 58 466.1748709275304 2
109.5 a04 57 440.010109760719 1
110.0 f04 53 349.2350614339879 4
110.5 a04 57 440.010109760719 4
111.5 d04 50 293.66975814369056 7
112.0 e04 52 329.6337218008237 2
112.5 g04 55 392.0037725760563 3
113.0 d04 50 293.66975814369056 5
113.5 g04 55 392.0037725760563 5
114.0 c04 48 261.62956379894933 7
114.5 e04 52 329.6337218008237 4
115.5 a03 45 220.00279814001308 7
116.0 bb3 46 233.0850445286108 1
116.5 d04 50 293.66975814369056 4
117.0 f04 53 349.2350614339879 3
117.5 g04 55 392.0037725760563 2
118.0 bb4 58 466.1748709275304 3
118.5 d05 62 587.3455410870412 4
119.0 f05 65 698.4772876209713 3
119.5 d05 62 587.3455410870412 3
120.0 bb4 58 466.1748709275304 4
120.5 gb4 54 370.0019751270985 4
121.5 gb4 54 370.0019751270985 0
122.5 gb4 54 370.0019751270985 0
123.5 b04 59 493.895493452365 5
124.0 c05 60 523.2644950750164 1
124.5 bb4 58 466.1748709275304 2
125.5 a04 57 440.010109760719 1
126.0 f04 53 349.2350614339879 4
126.5 a04 57 440.010109760719 4
127.5 d04 50 293.66975814369056 7
128.0 e04 52 329.6337218008237 2
128.5 g04 55 392.0037725760563 3
129.0 d04 50 293.66975814369056 5
129.5 g04 55 392.0037725760563 5
130.0 c04 48 261.62956379894933 7
130.5 e04 52 329.6337218008237 4
131.5 a03 45 220.00279814001308 7
132.0 bb3 46 233.0850445286108 1
132.5 d04 50 293.66975814369056 4
133.0 f04 53 349.2350614339879 3
133.5 g04 55 392.0037725760563 2
134.0 bb4 58 466.1748709275304 3
134.5 d05 62 587.3455410870412 4
135.0 f05 65 698.4772876209713 3
135.5 d05 62 587.3455410870412 3
136.0 f05 65 698.4772876209713 3
136.5 d05 62 587.3455410870412 3
137.0 f05 65 698.4772876209713 3
137.5 eb5 63 622.271456342241 2
138.0 f05 65 698.4772876209713 2
138.5 eb5 63 622.271456342241 2
139.0 f05 65 698.4772876209713 2
139.5 eb5 63 622.271456342241 2
140.0 f#5 66 740.0115410520648 3
140.5 eb5 63 622.271456342241 3
141.0 f#5 66 740.0115410520648 3
142.0 e05 64 659.274206222176 2
142.25 g05 67 784.0155873291847 3
142.75 e05 64 659.274206222176 3
143.0 g05 67 784.0155873291847 3
143.5 e05 64 659.274206222176 3
144.0 c05 60 523.2644950750164 4
144.25 e05 64 659.274206222176 4
144.75 c05 60 523.2644950750164 4
145.0 e05 64 659.274206222176 4
145.5 c05 60 523.2644950750164 4
146.0 a04 57 440.010109760719 3
146.25 c05 60 523.2644950750164 3
146.75 a04 57 440.010109760719 3
147.0 c05 60 523.2644950750164 3
147.5 a04 57 440.010109760719 3
147.75 c05 60 523.2644950750164 3
148.0 a04 57 440.010109760719 3
150.0 g04 55 392.0037725760563 2
150.25 a04 57 440.010109760719 2
150.75 g04 55 392.0037725760563 2
151.0 e04 52 329.6337218008237 3
151.5 g04 55 392.0037725760563 3
152.0 e04 52 329.6337218008237 3
152.25 f04 53 349.2350614339879 1
152.75 e04 52 329.6337218008237 1
153.0 c04 48 261.62956379894933 4
154.0 c04 48 261.62956379894933 0
154.25 d04 50 293.66975814369056 2
154.75 c04 48 261.62956379894933 2
155.0 g03 43 195.9998757643836 5
155.5 g03 43 195.9998757643836 0
155.75 b03 47 246.94521361646014 4
156.0 g03 43 195.9998757643836 4
158.0 e03 40 164.81517026262188 3
158.25 g03 43 195.9998757643836 3
158.75 e03 40 164.81517026262188 3
159.0 g03 43 195.9998757643836 3
159.5 e03 40 164.81517026262188 3
160.0 c03 36 130.81344004395967 4
160.25 e03 40 164.81517026262188 4
160.75 c03 36 130.81344004395967 4
161.5 c03 36 130.81344004395967 0
162.0 a02 33 110.0002707114078 3
162.25 c03 36 130.81344004395967 3
162.75 a02 33 110.0002707114078 3
163.0 c03 36 130.81344004395967 3
163.5 a02 33 110.0002707114078 3
163.75 c03 36 130.81344004395967 3
164.0 a02 33 110.0002707114078 3
167.0 d03 38 146.8333728873804 5
167.5 e03 40 164.81517026262188 2
169.0 d04 50 293.66975814369056 10
169.5 e04 52 329.6337218008237 2
169.75 g04 55 392.0037725760563 3
171.0 e05 64 659.274206222176 9
171.5 g05 67 784.0155873291847 3
171.75 a05 69 880.0292465754202 2
172.0 c06 72 1046.5397252143853 3
173.0 c05 60 523.2644950750164 12
173.0 g04 55 392.0037725760563 12
172.0 g05 67 784.0155873291847 0
130.5 g04 55 392.0037725760563 12
129.5 f04 53 349.2350614339879 14
128.5 b03 47 246.94521361646014 20
128.0 f04 53 349.2350614339879 14
126.5 c04 48 261.62956379894933 19
124.5 e04 52 329.6337218008237 15
124.0 d05 62 587.3455410870412 5
122.5 db4 49 277.18710418068997 18
121.5 db4 49 277.18710418068997 18
120.5 db4 49 277.18710418068997 18
114.5 g04 55 392.0037725760563 12
113.5 f04 53 349.2350614339879 14
112.5 b03 47 246.94521361646014 20
110.5 c04 48 261.62956379894933 19
108.5 e04 52 329.6337218008237 15
106.0 g05 67 784.0155873291847 0
64.5 g04 55 392.0037725760563 12
63.5 f04 53 349.2350614339879 14
62.5 b03 47 246.94521361646014 20
62.0 f04 53 349.2350614339879 14
60.5 c04 48 261.62956379894933 19
58.5 e04 52 329.6337218008237 15
58.0 d05 62 587.3455410870412 5
56.5 db4 49 277.18710418068997 18
55.5 db4 49 277.18710418068997 18
54.5 db4 49 277.18710418068997 18
48.5 g04 55 392.0037725760563 12
47.5 f04 53 349.2350614339879 14
46.5 b03 47 246.94521361646014 20
44.5 c04 48 261.62956379894933 19
42.5 e04 52 329.6337218008237 15
38.0 g04 55 392.0037725760563 12
30.0 g05 67 784.0155873291847 0
