238
0.25 c04 48 261.62956379894933
22.25 b04 59 493.895493452365 3
22.375 c05 60 523.2644950750164 1
22.5 d05 62 587.3455410870412 2
22.75 g05 67 784.0155873291847 5
23.0 b04 59 493.895493452365 8
23.25 a04 57 440.010109760719 2
23.5 g04 55 392.0037725760563 2
23.75 g04 55 392.0037725760563 0
26.25 g04 55 392.0037725760563 0
26.5 a04 57 440.010109760719 2
26.75 b04 59 493.895493452365 2
27.0 c05 60 523.2644950750164 1
27.25 a04 57 440.010109760719 3
27.5 b04 59 493.895493452365 2
27.75 g04 55 392.0037725760563 4
28.0 f#4 54 370.0019751270985 1
30.25 a04 57 440.010109760719 3
30.5 b04 59 493.895493452365 2
30.75 c05 60 523.2644950750164 1
31.0 d05 62 587.3455410870412 2
31.25 b04 59 493.895493452365 3
31.5 c05 60 523.2644950750164 1
31.75 a04 57 440.010109760719 3
32.0 b04 59 493.895493452365 2
34.25 d05 62 587.3455410870412 3
34.5 c05 60 523.2644950750164 2
34.75 b04 59 493.895493452365 1
35.0 a04 57 440.010109760719 2
35.25 c05 60 523.2644950750164 3
35.5 b04 59 493.895493452365 1
35.75 d05 62 587.3455410870412 3
36.0 c05 60 523.2644950750164 2
38.25 e05 64 659.274206222176 4
38.5 d05 62 587.3455410870412 2
38.75 c05 60 523.2644950750164 2
39.0 b04 59 493.895493452365 1
39.25 d05 62 587.3455410870412 3
39.5 c#5 61 554.3798950101573 1
39.75 e05 64 659.274206222176 3
40.0 d05 62 587.3455410870412 2
40.5 c#5 61 554.3798950101573 1
41.0 d05 62 587.3455410870412 1
41.5 e05 64 659.274206222176 2
42.0 f05 65 698.4772876209713 1
42.5 a04 57 440.010109760719 8
43.0 b04 59 493.895493452365 2
43.5 c05 60 523.2644950750164 1
44.0 d05 62 587.3455410870412 2
44.5 f#4 54 370.0019751270985 8
45.0 g#4 56 415.3138849085189 2
45.5 a04 57 440.010109760719 1
46.0 b04 59 493.895493452365 2
46.5 c05 60 523.2644950750164 1
47.0 d05 62 587.3455410870412 2
48.25 e04 52 329.6337218008237 10
48.5 f#4 54 370.0019751270985 2
48.75 g#4 56 415.3138849085189 2
49.0 a04 57 440.010109760719 1
49.25 f#4 54 370.0019751270985 3
49.5 g#4 56 415.3138849085189 2
49.75 e04 52 329.6337218008237 4
50.0 e05 64 659.274206222176 12
50.25 d05 62 587.3455410870412 2
50.5 c05 60 523.2644950750164 2
50.75 e05 64 659.274206222176 4
51.0 d05 62 587.3455410870412 2
51.25 c05 60 523.2644950750164 2
51.5 b04 59 493.895493452365 1
51.75 d05 62 587.3455410870412 3
52.0 c05 60 523.2644950750164 2
52.25 a05 69 880.0292465754202 9
52.5 g#5 68 830.6362902141274 1
52.75 b05 71 987.8011194475558 3
53.0 a05 69 880.0292465754202 2
53.25 e05 64 659.274206222176 5
53.5 f05 65 698.4772876209713 1
53.75 d05 62 587.3455410870412 3
54.0 g#4 56 415.3138849085189 6
54.25 f05 65 698.4772876209713 9
54.5 e05 64 659.274206222176 1
54.75 d05 62 587.3455410870412 2
55.0 c05 60 523.2644950750164 2
55.5 b04 59 493.895493452365 1
55.75 a04 57 440.010109760719 2
56.0 a04 57 440.010109760719 0
56.25 a05 69 880.0292465754202 12
56.5 g05 67 784.0155873291847 2
56.75 f05 65 698.4772876209713 2
57.0 e05 64 659.274206222176 1
57.25 g05 67 784.0155873291847 3
57.5 f05 65 698.4772876209713 2
57.75 a05 69 880.0292465754202 4
58.0 g05 67 784.0155873291847 2
60.25 e05 64 659.274206222176 3
60.5 f05 65 698.4772876209713 1
60.75 g05 67 784.0155873291847 2
61.0 a05 69 880.0292465754202 2
61.25 f05 65 698.4772876209713 4
61.5 g05 67 784.0155873291847 2
61.75 e05 64 659.274206222176 3
62.0 f05 65 698.4772876209713 1
64.25 g05 67 784.0155873291847 2
64.5 f05 65 698.4772876209713 2
64.75 e05 64 659.274206222176 1
65.0 d05 62 587.3455410870412 2
65.25 f05 65 698.4772876209713 3
65.5 e05 64 659.274206222176 1
65.75 g05 67 784.0155873291847 3
66.0 f05 65 698.4772876209713 2
68.25 d05 62 587.3455410870412 3
68.5 e05 64 659.274206222176 2
68.75 f05 65 698.4772876209713 1
69.0 g05 67 784.0155873291847 2
69.25 e05 64 659.274206222176 3
69.5 f05 65 698.4772876209713 1
69.75 d05 62 587.3455410870412 3
70.0 e05 64 659.274206222176 2
72.25 c05 60 523.2644950750164 4
72.5 d05 62 587.3455410870412 2
72.75 e05 64 659.274206222176 2
73.0 f05 65 698.4772876209713 1
73.25 d05 62 587.3455410870412 3
73.5 e05 64 659.274206222176 2
73.75 c05 60 523.2644950750164 4
74.0 d05 62 587.3455410870412 2
74.25 e05 64 659.274206222176 2
74.5 f05 65 698.4772876209713 1
74.75 g05 67 784.0155873291847 2
75.0 a05 69 880.0292465754202 2
75.25 f05 65 698.4772876209713 4
75.5 g05 67 784.0155873291847 2
75.75 e05 64 659.274206222176 3
76.0 f05 65 698.4772876209713 1
76.25 g05 67 784.0155873291847 2
76.5 a05 69 880.0292465754202 2
76.75 b05 71 987.8011194475558 2
77.0 c06 72 1046.5397252143853 1
77.25 a05 69 880.0292465754202 3
77.5 b05 71 987.8011194475558 2
77.75 g05 67 784.0155873291847 4
78.0 c06 72 1046.5397252143853 5
78.5 g05 67 784.0155873291847 5
79.0 e05 64 659.274206222176 3
79.5 d05 62 587.3455410870412 2
79.75 c05 60 523.2644950750164 2
80.0 c05 60 523.2644950750164 0
80.25 bb4 58 466.1748709275304 2
80.5 a04 57 440.010109760719 1
80.75 g04 55 392.0037725760563 2
81.0 f04 53 349.2350614339879 2
81.25 a04 57 440.010109760719 4
81.5 g04 55 392.0037725760563 2
81.75 bb4 58 466.1748709275304 3
82.0 a04 57 440.010109760719 1
82.25 b04 59 493.895493452365 2
82.5 c05 60 523.2644950750164 1
82.75 e04 52 329.6337218008237 8
83.0 d04 50 293.66975814369056 2
83.25 c05 60 523.2644950750164 10
83.5 f04 53 349.2350614339879 7
83.75 b04 59 493.895493452365 6
84.0 c05 60 523.2644950750164 1
