216
2.25 c03 36 130.81344004395967
33.75 g04 55 392.0037725760563 3
34.0 f04 53 349.2350614339879 2
34.5 e04 52 329.6337218008237 1
35.0 f04 53 349.2350614339879 1
35.5 d04 50 293.66975814369056 3
36.0 e04 52 329.6337218008237 2
36.25 a04 57 440.010109760719 5
36.5 g04 55 392.0037725760563 2
36.75 f04 53 349.2350614339879 2
37.0 e04 52 329.6337218008237 1
37.25 g04 55 392.0037725760563 3
37.5 f04 53 349.2350614339879 2
37.75 a04 57 440.010109760719 4
38.0 g04 55 392.0037725760563 2
38.5 f04 53 349.2350614339879 2
39.0 g04 55 392.0037725760563 2
39.5 e04 52 329.6337218008237 3
40.0 f04 53 349.2350614339879 1
40.25 bb4 58 466.1748709275304 5
40.5 a04 57 440.010109760719 1
40.75 g04 55 392.0037725760563 2
41.0 f04 53 349.2350614339879 2
41.25 a04 57 440.010109760719 4
41.5 g04 55 392.0037725760563 2
41.75 bb4 58 466.1748709275304 3
42.0 a04 57 440.010109760719 1
42.25 g04 55 392.0037725760563 2
42.5 f04 53 349.2350614339879 2
42.75 e04 52 329.6337218008237 1
43.0 d04 50 293.66975814369056 2
43.25 f04 53 349.2350614339879 3
43.5 e04 52 329.6337218008237 1
43.75 g04 55 392.0037725760563 3
44.0 f04 53 349.2350614339879 2
44.25 e04 52 329.6337218008237 1
44.5 d04 50 293.66975814369056 2
44.75 c04 48 261.62956379894933 2
45.0 b03 47 246.94521361646014 1
45.25 d04 50 293.66975814369056 3
45.5 c04 48 261.62956379894933 2
45.75 e04 52 329.6337218008237 4
46.0 d04 50 293.66975814369056 2
46.25 c04 48 261.62956379894933 2
46.5 b03 47 246.94521361646014 1
46.75 a03 45 220.00279814001308 2
47.0 g#3 44 207.65481237683684 1
47.25 b03 47 246.94521361646014 3
47.5 a03 45 220.00279814001308 2
47.75 c04 48 261.62956379894933 3
48.0 b03 47 246.94521361646014 1
48.5 e03 40 164.81517026262188 7
49.0 d04 50 293.66975814369056 10
49.75 e04 52 329.6337218008237 2
50.0 c04 48 261.62956379894933 4
50.25 b03 47 246.94521361646014 1
50.5 a03 45 220.00279814001308 2
50.75 g03 43 195.9998757643836 2
51.0 f#3 42 184.99908988354827 1
51.25 a03 45 220.00279814001308 3
51.5 g#3 44 207.65481237683684 1
51.75 b03 47 246.94521361646014 3
52.0 a03 45 220.00279814001308 2
52.25 c04 48 261.62956379894933 3
52.5 b03 47 246.94521361646014 1
52.75 d04 50 293.66975814369056 3
53.0 c04 48 261.62956379894933 2
53.25 e04 52 329.6337218008237 4
53.5 d04 50 293.66975814369056 2
53.75 f04 53 349.2350614339879 3
54.0 e04 52 329.6337218008237 1
54.5 a03 45 220.00279814001308 7
55.0 e04 52 329.6337218008237 7
55.5 e03 40 164.81517026262188 12
56.0 a03 45 220.00279814001308 5
56.5 a02 33 110.0002707114078 12
58.25 e04 52 329.6337218008237 19
58.5 d04 50 293.66975814369056 2
58.75 c04 48 261.62956379894933 2
59.0 b03 47 246.94521361646014 1
59.25 d04 50 293.66975814369056 3
59.5 c#4 49 277.18710418068997 1
59.75 e04 52 329.6337218008237 3
62.25 a03 45 220.00279814001308 7
62.5 b03 47 246.94521361646014 2
62.75 c04 48 261.62956379894933 1
63.0 d04 50 293.66975814369056 2
63.25 b03 47 246.94521361646014 3
63.5 c04 48 261.62956379894933 1
63.75 a03 45 220.00279814001308 3
64.0 b03 47 246.94521361646014 2
66.25 d04 50 293.66975814369056 3
66.5 c04 48 261.62956379894933 2
66.75 b03 47 246.94521361646014 1
67.0 a03 45 220.00279814001308 2
67.25 c04 48 261.62956379894933 3
67.5 b03 47 246.94521361646014 1
67.75 d04 50 293.66975814369056 3
68.0 c04 48 261.62956379894933 2
70.25 g03 43 195.9998757643836 5
70.5 a03 45 220.00279814001308 2
70.75 bb3 46 233.0850445286108 1
71.0 c04 48 261.62956379894933 2
71.25 a03 45 220.00279814001308 3
71.5 bb3 46 233.0850445286108 1
71.75 g03 43 195.9998757643836 3
72.0 a03 45 220.00279814001308 2
72.5 bb3 46 233.0850445286108 1
73.0 a03 45 220.00279814001308 1
73.5 g03 43 195.9998757643836 2
74.0 f03 41 174.61573954711844 2
74.5 d04 50 293.66975814369056 9
75.0 c04 48 261.62956379894933 2
75.5 bb3 46 233.0850445286108 2
76.0 a03 45 220.00279814001308 1
76.5 f04 53 349.2350614339879 8
77.0 e04 52 329.6337218008237 1
77.5 d04 50 293.66975814369056 2
78.0 e04 52 329.6337218008237 2
78.25 d03 38 146.8333728873804 14
78.5 e03 40 164.81517026262188 2
78.75 f03 41 174.61573954711844 1
79.0 g03 43 195.9998757643836 2
79.25 e03 40 164.81517026262188 3
79.5 f03 41 174.61573954711844 1
79.75 d03 38 146.8333728873804 3
80.0 e03 40 164.81517026262188 2
80.5 c03 36 130.81344004395967 4
81.0 d03 38 146.8333728873804 2
81.5 e03 40 164.81517026262188 2
82.0 f03 41 174.61573954711844 1
82.25 d03 38 146.8333728873804 3
82.5 e03 40 164.81517026262188 2
82.75 f03 41 174.61573954711844 1
83.0 g03 43 195.9998757643836 2
83.5 g02 31 97.99893263068115 12
84.0 c03 36 130.81344004395967 5
